"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Jul-53","Territoires du Nord-Ouest incluant Nunavut","16000"
"Oct-53","Canada","15001000"
"Oct-53","Terre-Neuve-et-Labrador","387000"
"Oct-53","Île-du-Prince-Édouard","101000"
"Oct-53","Nouvelle-Écosse","667000"
"Oct-53","Nouveau-Brunswick","535000"
"Oct-53","Québec","4310000"
"Oct-53","Ontario","5002000"
"Oct-53","Manitoba","814000"
"Oct-53","Saskatchewan","866000"
"Oct-53","Alberta","1029000"
"Oct-53","Colombie-Britannique","1265000"
"Oct-53","Yukon","9000"
"Oct-53","Territoires du Nord-Ouest incluant Nunavut","16000"
"Jan-54","Canada","15105000"
"Jan-54","Terre-Neuve-et-Labrador","390000"
"Jan-54","Île-du-Prince-Édouard","101000"
"Jan-54","Nouvelle-Écosse","668000"
"Jan-54","Nouveau-Brunswick","537000"
"Jan-54","Québec","4337000"
"Jan-54","Ontario","5047000"
"Jan-54","Manitoba","816000"
"Jan-54","Saskatchewan","867000"
"Jan-54","Alberta","1039000"
"Jan-54","Colombie-Britannique","1278000"
"Jan-54","Yukon","9000"
"Jan-54","Territoires du Nord-Ouest incluant Nunavut","16000"
"Apr-54","Canada","15199000"
"Apr-54","Terre-Neuve-et-Labrador","393000"
"Apr-54","Île-du-Prince-Édouard","101000"
"Apr-54","Nouvelle-Écosse","670000"
"Apr-54","Nouveau-Brunswick","538000"
"Apr-54","Québec","4365000"
"Apr-54","Ontario","5082000"
"Apr-54","Manitoba","819000"
"Apr-54","Saskatchewan","869000"
"Apr-54","Alberta","1047000"
"Apr-54","Colombie-Britannique","1288000"
"Apr-54","Yukon","10000"
"Apr-54","Territoires du Nord-Ouest incluant Nunavut","17000"
"Jul-54","Canada","15330000"
"Jul-54","Terre-Neuve-et-Labrador","396000"
"Jul-54","Île-du-Prince-Édouard","101000"
"Jul-54","Nouvelle-Écosse","674000"
"Jul-54","Nouveau-Brunswick","541000"
"Jul-54","Québec","4402000"
"Jul-54","Ontario","5130000"
"Jul-54","Manitoba","825000"
"Jul-54","Saskatchewan","874000"
"Jul-54","Alberta","1061000"
